key,value
SDGS.1.TARGETS.2.INDICATORS.3.UNIT,socios/as por 1.000 hab.
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.1.TITLE,Número de socios/as de cooperativas
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.1.UNIT,socios/as
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.2.TITLE,Población total
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.2.UNIT,personas
SDGS.1.TARGETS.2.INDICATORS.3.SOURCE,"- [Registro General de Cooperativas de la Generalitat de Catalunya](https://analisi.transparenciacatalunya.cat/Treball/Registre-General-de-Cooperatives-de-la-Generalitat/euku-fzbx/about_data) (Dades Obertes de Catalunya)
- [Datos históricos de población de los municipios de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.1.TARGETS.3.DESCRIPTION,"Reforzar a nivel local sistemas y medidas apropiadas de protección social para todas las personas, con el fin de lograr una amplia cobertura de las personas vulnerables"
SDGS.1.TARGETS.3.INDICATORS.1.TITLE,Renta Gar. Ciud. por 10.000 hab.
SDGS.1.TARGETS.3.INDICATORS.1.DESCRIPTION,"Promedio de personas que han sido beneficiarias de la Renta Garantizada de Ciudadanía en el año de referencia, por cada 10.000 habitantes"
SDGS.1.TARGETS.3.INDICATORS.1.UNIT,personas/10.000 hab.
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.1.TITLE,Promedio de personas beneficiarias
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.1.UNIT,personas
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.2.TITLE,Población total
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.1.TARGETS.3.INDICATORS.1.SOURCE,"- [Renta Garantizada de Ciudadanía](https://www.idescat.cat/pub/?id=ris&n=9549) (IDESCAT)
- [Datos históricos de población de los municipios de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.1.TARGETS.4.DESCRIPTION,"Garantizar que las personas, especialmente las pobres y vulnerables, tengan los mismos derechos, así como acceso a los servicios básicos, recursos naturales, económicos y financieros en igualdad de condiciones."
SDGS.1.TARGETS.4.INDICATORS.1.TITLE,Tasa de prestaciones por desempleo
SDGS.1.TARGETS.4.INDICATORS.1.DESCRIPTION,"Número de personas beneficiarias de prestaciones que protegen la situación por desempleo en los ámbitos contributivo, asistencial, renta activa de inserción y programa de activación para el empleo respecto al total de parados registrados que han tenido empleo anterior."
SDGS.1.TARGETS.4.INDICATORS.1.UNIT,%
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.1.TITLE,personas beneficiarias de prestaciones
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.1.UNIT,personas
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.2.TITLE,Promedio anual de personas desempleadas registradas que han tenido empleo anterior.
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.2.UNIT,personas
