key,value
SDGS.1.TARGETS.2.INDICATORS.3.DESCRIPTION,Nombre de socis de cooperatives per 1.000 habitants
SDGS.1.TARGETS.2.INDICATORS.3.UNIT,socis/es/1.000 hab.
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.1.TITLE,Número de socis/es de cooperatives
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.1.UNIT,socis/es
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.2.TITLE,Població total
SDGS.1.TARGETS.2.INDICATORS.3.VALUES.2.UNIT,persones
SDGS.1.TARGETS.2.INDICATORS.3.SOURCE,"- [Registre General de Cooperatives de la Generalitat de Catalunya](https://analisi.transparenciacatalunya.cat/Treball/Registre-General-de-Cooperatives-de-la-Generalitat/euku-fzbx/about_data) (Dades Obertes de Catalunya)
- [Dades històriques de població dels municipis de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.1.TARGETS.3.DESCRIPTION,"Reforçar en l'àmbit local sistemes i mesures apropiades de protecció social per a totes les persones, per tal d'aconseguir una àmplia cobertura de les persones vulnerables."
SDGS.1.TARGETS.3.INDICATORS.1.TITLE,Renda Gar. Ciut. per 10.000 hab.
SDGS.1.TARGETS.3.INDICATORS.1.DESCRIPTION,"Mitjana de persones que han estat beneficiaries de la Renda Garantida de Ciutadania a l'any de referència, per cada 10.000 habitants"
SDGS.1.TARGETS.3.INDICATORS.1.UNIT,persones/10.000 hab.
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.1.TITLE,Mitjana de persones beneficiàries
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.1.UNIT,persones
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.2.TITLE,Població total
SDGS.1.TARGETS.3.INDICATORS.1.VALUES.2.UNIT,persones
SDGS.1.TARGETS.3.INDICATORS.1.SOURCE,"- [Renda Garantida de Ciutadania](https://www.idescat.cat/pub/?id=ris&n=9549) (IDESCAT)
- [Dades històriques de població dels municipis de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.1.TARGETS.4.DESCRIPTION,"Garantir que les persones, especialment les pobres i vulnerables, tinguin els mateixos drets, així com accés als serveis bàsics, recursos naturals, econòmics i financers en igualtat de condicions."
SDGS.1.TARGETS.4.INDICATORS.1.TITLE,Taxa de prestacions desocupació
SDGS.1.TARGETS.4.INDICATORS.1.DESCRIPTION,"Nombre de persones beneficiàries de prestacions que protegeixen la situació per atur en els àmbits contributiu, assistencial, renda activa d'inserció i programa d'activació per l'ocupació respecte el total d'aturats registrats que han tingut ocupació anterior"
SDGS.1.TARGETS.4.INDICATORS.1.UNIT,%
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.1.TITLE,Persones beneficiàries de prestacions
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.1.UNIT,persones
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.2.TITLE,Mitjana anual d'aturats registrats que han tingut ocupació anterior
SDGS.1.TARGETS.4.INDICATORS.1.VALUES.2.UNIT,persones
SDGS.1.TARGETS.4.INDICATORS.1.SOURCE,"- [Persones beneficiàries de prestacions](https://www.diba.cat/hg2/presentaciomun.asp?prid=1327) (DIBA)
- [Atur registrat](https://www.idescat.cat/pub/?id=atureg&n=4299) (IDESCAT)

S'agafa la dada de Juny de les persones beneficiàries de prestacions i la mitjana anual d'aturats registrats."
SDGS.1.TARGETS.4.INDICATORS.2.TITLE,Proporció de persones amb discapacitat que reben una pensió
SDGS.1.TARGETS.4.INDICATORS.2.DESCRIPTION,Proporció de persones amb discapacitat que reben una pensió
SDGS.1.TARGETS.4.INDICATORS.2.UNIT,%
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.1.TITLE,Pensions d'invalidesa
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.1.UNIT,pensions
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.2.TITLE,Persones reconegudes legalment com a discapacitades
SDGS.1.TARGETS.4.INDICATORS.2.VALUES.2.UNIT,persones
SDGS.1.TARGETS.4.INDICATORS.2.SOURCE,"- [Pensions d'invalidesa](https://www.idescat.cat/pub/?id=ppsr&n=9383) (IDESCAT)

- [Persones reconegudes legalment com a discapacitades](https://www.idescat.cat/pub/?id=regdis&n=441) (IDESCAT)

"
SDGS.1.TARGETS.5.DESCRIPTION,"Fomentar la resiliència de les persones pobres i vulnerables, i reduir la seva exposició i vulnerabilitat als fenòmens extrems relacionats amb el clima i altres pertorbacions i desastres econòmics, socials i ambientals."
SDGS.1.TARGETS.5.INDICATORS.1.TITLE,Refugis climàtics gratuïts
SDGS.1.TARGETS.5.INDICATORS.1.DESCRIPTION,Refugis climàtics gratuïts
SDGS.1.TARGETS.5.INDICATORS.1.UNIT,refugis/10.000 hab.
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.1.TITLE,Refugis climàtics
SDGS.1.TARGETS.5.INDICATORS.1.VALUES.1.UNIT,refugis
