Grup,Nom,ODS_1,ODS_2_1,ODS_2_2,ODS_2_3,ODS_2_4,Pes_ODS_1,Pes_ODS_2_1,Pes_ODS_2_2,Pes_ODS_2_3,Pes_ODS_2_4,
419,"Otras actuaciones en agricultura, ganadería y pesca.",,2.3,12.2,,,0.000000000000000,0.700000000000000,0.300000000000000,0.000000000000000,0.000000000000000,1.000000000000000
420,Administración General de Industria y energía.,9.1,7.2,7.3,9.2,,0.500000000000000,0.166666666666667,0.166666666666667,0.166666666666667,0.000000000000000,1.000000000000000
422,Industria.,9.2,8.4,9.1,9.3,9.4,0.500000000000000,0.125000000000000,0.125000000000000,0.125000000000000,0.125000000000000,1.000000000000000
423,Minería.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
425,Energía.,7.2,7.1,7.3,9.1,13.2,0.500000000000000,0.125000000000000,0.125000000000000,0.125000000000000,0.125000000000000,1.000000000000000
430,"Administración general de comercio, turismo y pequeñas y medianas empresas.",8.3,8.9,9.3,,,0.500000000000000,0.250000000000000,0.250000000000000,0.000000000000000,0.000000000000000,1.000000000000000
431,Comercio.,8.2,9.2,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
432,Información y promoción turística.,8.2,8.9,11.4,,,0.500000000000000,0.150000000000000,0.350000000000000,0.000000000000000,0.000000000000000,1.000000000000000
433,Desarrollo empresarial.,9.3,8.2,8.3,9.2,9.4,0.500000000000000,0.125000000000000,0.125000000000000,0.125000000000000,0.125000000000000,1.000000000000000
439,Otras actuaciones sectoriales.,8.3,9.1,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
440,Administración general del transporte.,11.2,9.1,13.2,,,0.500000000000000,0.250000000000000,0.250000000000000,0.000000000000000,0.000000000000000,1.000000000000000
441,Transporte de viajeros.,11.2,11.a,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
442,Infraestructuras del transporte.,9.1,3.6,11.2,11.a,,0.500000000000000,0.125000000000000,0.187500000000000,0.187500000000000,0.000000000000000,1.000000000000000
443,Transporte de mercancías.,9.1,11.2,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
450,Administración general de infraestructuras.,9.1,9.4,11.3,,,0.500000000000000,0.200000000000000,0.300000000000000,0.000000000000000,0.000000000000000,1.000000000000000
452,Recursos Hidráulicos.,6.4,9.1,15.1,,,0.500000000000000,0.333333333333333,0.166666666666667,0.000000000000000,0.000000000000000,1.000000000000000
453,Carreteras.,9.1,3.6,11.2,,,0.500000000000000,0.200000000000000,0.300000000000000,0.000000000000000,0.000000000000000,1.000000000000000
454,Caminos vecinales.,9.1,11.2,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
459,Otras infraestructuras.,9.1,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
462,Investigación y estudios relacionados con los servicios públicos.,9.5,16.6,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
463,"Investigación científica, técnica y aplicada.",9.5,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
491,Sociedad de la información.,9.1,17.18,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
492,Gestión del conocimiento.,9.5,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
493,Protección de consumidores y usuarios.,12.8,12.6,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
912,Órganos de gobierno.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
920,Administración General.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
922,Coordinación y organización institucional de las entidades locales.,16,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
